Suspicious,Original,Label
सर्वसाधारणलाई सहज भेट दिने खरेल ती व्यक्तिसंग भने आक्रोशित भए,समितिको सोमबार बसेको बैठकले खड्काको संयोजकत्वमा नौ सदस्यीय अध्ययन उपसमति गठन गरेको थियो,0
दस्तावेजमा एमाओवादीसँग कार्यगत एकता वा पार्टी एकीकरण दुवैको प्रस्तावसमेत वैद्यले राखेका छन्,कार्यालयले शनिबार र आइतबारमात्र वैदेशिक रोजगारीमा जाने ३ सय ५० कामदार फर्काएको थियो,0
उनले भनेबमोजिम सिस्टरको नाम लिएर तथ्यांक मागेपछि साउन महिनाको दिन राजी भइन्,"तर किसुनजी भन्नुहुन्थ्यो, 'राजाका अधिकार कटौती गरेर आन्दोलन गर्ने हामीलाई थुन्दा आश्चर्य मान्नु पर्देन' दुनियाँको रीत यही हो भनेर सम्झाउनुहुन्थ्यो",0
पुरस्कार राशी एक लाख अमेरिकी डलर हो,उनका वुवा असलम वैदेशिक रोजगारीका लागि विदेशमा छन्,0
सारा नेपालीको हर्षका आँसु र गुञ्जनले सिंगो नेपालसँगै सारा विश्व हल्लियो,किसुनजीप्रति भारतीय नेताहरूको यति ठूलो विश्वास थियो,0
"‘साँच्चै बन्दीपुरलाई अलग पहिचानको सहर बनाउने भए सवारी साधन निषेध गरेर सडकमा ढुङ्गाका स्लेट छाप्नुपर्छ भन्ने निष्कर्षमा हामी पुगेका थियौं,’ भट्टराईले सम्झिए","सोमबार दिउँसो उनीहरुले आकस्मिकबाहेक सबै सेवा बहिस्कार गर्ने पत्र डिन कार्यालय, अस्पतालका निर्देशक र सबै विभागीय प्रमुखलाई बुझाएका छन्",0
पक्राउ परेकालाई गौबधसम्बन्धी मुद्दा दायर गरी अनुसन्धान प्रक्रिया अगाडि बढाइएको जिल्ला प्रहरी कार्यालय स्याङ्जाले जनाएको छ,मोटरसाइकल किनबेच गर्ने मिलेरै त्यस साँझ भब्य भोज आयोजना गरियो,0
वैशाख २४ मा तिमी स्वदेश फर्कियौ तिम्रो भब्य स्वागत गरियो र नगर परिक्रमामा राष्ट्रिय झण्डा फहराउँदै पुरै तागत लगाएर रमाइलो गरीयो,यो विषय अब न्यायालय पुग्ला नपुग्ला अर्कै कुरा हो,0
२०३० सालसम्म आइपुग्दा बन्दीपुरको त्यो विशेषता पनि छिनियो,"विद्यालयस्तरका असाधारण मेधावी विद्यार्थीलाई दिइने यो सम्मान शैक्षिक स्तर, चारित्रिक गुण, अतिरिक्त क्रियाकलापमा उत्कृष्ठता आदिका आधारमा मूल्याङ्कन गरी प्रदान गरिन्छ",0
करिब १५ मिनेटमै ६ सय मिटर उक्लने यो बाटोको ‘ड्राइभ’ रोमाञ्चक लाग्छ,"शिब गौतम, मिलन गुरुङ, बिष्णु कार्की, हरि काफ्ले, गौरब थपलियालगायतले मन्तव्य व्यक्त गरेका थिए भने महेश्वर पन्त, दीपा राई पुन, हरि थापा,दिनेश राजभण्डारी, कृष्णराज खनाल, ममता कर्माचार्य, लालगोपाल सुबेदी, अनु शाह ,सुरेश वाग्ले, शिव गौतम, उषा शर्मा, शिव प्रकाश, हरि काफ्ले, गोवर्धन पूजा, गौरब थपलियालगायतले गीत गज़ल र कविता वाचन गरे",0
चीन माओत्से तुङको कब्जामा गइसकेको थियो,बनेपामा पसल तथा विद्यालय पनि खुलेका छन्,0
तुरुन्तै बाटो पक्की गर्न उर्दी दिए,’ नेपाल र भारत सरकारको सहयोगमा बनेको प्रमाणित आयोडिनयुक्त नुन प्रतिकिलोको मूल्य रु १५ पर्छ,0
त्यहाँ पुग्दा त अघि नै दुई जना पत्रकार बसेरहेका छन्,मैले खबरपत्रिका पढन् जान्ने भएदेखि लगातार यस्तो समाचारहरु पढ्दै आइरहेको छु,0
यदि यो सूचना सही हो भने सम्भवतः ऐतिहासिक हुनेछ,बसमा रहेका यात्रु भने भागेर बच्न सफल भएका छन्,0
२०५६ सालमा भंग भएको संसद् २०६३ सालमा पुनःस्थापना भएको थियो,यस क्षेत्रका गाउँमा खुलेका साना पसलमा पनि खुलेयाम ढिके नुनको कारोबार हुन्छ,0
एसएसपी रमेश खरेलको कार्यकक्षमा बिहीबार साँझ एक युवक ‘दाइ नमस्ते’ भन्दै प्रवेश गरे,मोहनचन्द्रले त्यसका निम्ति अर्चलेबोटस्थित पुर्ख्यौली जग्गा तय गरे,0
यसमा पनि सबै प्रकारका कुरा सेयर गर्न सकिन्छ,मार्च ३१ मा उनको मृत्यु भएको हो,0
राजधानीको तुसारो र ठन्डीले पनि यस्तान स्वम्सेवी छेक्न सकेको छैन,आजको नागरिकमा खबर छापिएको छ,0
घटनाका दिन कलंकीबाट उनीहरु ट्याक्सी चालक धनबहादुर आले मगरसंग रत्नपार्क आएका थिए,तर जाँच गर्दा आयोडिनयुक्त नुन नभएको प्रमाणित भएको छ,0
छिमेकी जिल्लाबाट पनि विद्यार्थी आउन थाले,जेलमा समेत बेलाबेलामा किसुनजीका कुरा कांग्रेस नेताहरूसँग मिल्दैनथे,0
काँक्रेविहार घटनालाई लिएर शुरू गरिएको दोस्रो चरणको आन्दोलन स्थगित गर्न अन्तरिम मन्त्रीपरिषदका अध्यक्ष खिलराज रेग्मीले अनुरोध गरेका छन्,"बैठकमा सहभागी एमाले नेता रघुजी पन्तले सेतोपाटीसँग कुरा गर्दै भने, ‘उहाँहरुले आफ्नो पुरानै अडान दोहोर्याउनु भयो",0
२ सय ३४ सिटमा मंगलवार उम्मेद्वार टुङगो लगाएको कांग्रेसले जम्मा १९ सिट ८.११ प्रतिशत मा महिलालाई टिकट दिएको छ,यसरी विदेशमा जानका लागि भिसाशुल्क बढी तिर्नु पर्ने भएकाले नेपालले पनि बढाउन लागेको हो,0
वैशाख २४ मा तिमी स्वदेश फर्कियौ तिम्रो भब्य स्वागत गरियो र नगर परिक्रमामा राष्ट्रिय झण्डा फहराउँदै पुरै तागत लगाएर रमाइलो गरीयो,त्यस्तो उपचारले समग्र स्वास्थ्य सेवा र चिकित्सा शिक्षा क्षेत्रको भलो गर्छ भन्ने बहुसंख्यक समर्थकको धारणा हो,0
"यिनको सक्रियतामा सुनसरीको भुटाहा, घुस्की र जल्पापुरमा आवासिय मदरसा सञ्चालन भएका थिए",त्यस्तै आइतबार समुहगत रूपमा भएको छलफलको निष्कर्ष तथा प्रतिवेदन प्रस्तुत हुने कार्यक्रम रहेको छ,0
केन्द्रमा पुरुष नेतृत्व भएकैले दलहरुमा अझै महिलालाई माथि उठाउनु पर्छ भन्ने चेतनानै नआएको टिकट वितरणको प्रवृत्तिको सन्देश छ,भारतबाट बिजुली नमगाइएको भए यो वर्ष लोडसेडिङ बढेर १७ घण्टामा पुग्ने प्रक्षेपण गरिएको थियो,0
फैजानको हत्याका लागि सुनौलीबाट घटनाको एक साताअघि ३ जना मिलेर राजधानी प्रवेश गरेको बयान दिएका छन्,भट्टराई अनुपस्थित भएको बैठकले विधान नै संशोधन गरेर केन्द्रीय कार्यालयमा बस्न पाउने गरी भट्टराईलाई ‘वरिष्ठ सदस्य'मा चयन गरेको छ,0
"हून्छ त प्यारा, जसरी हुन्छ यो मिसनलाई पुरा गर्नु र पुरै बल र यो फलामे ढोकालाई पार गर्नु अग्रीम शुभकामना",विश्व स्वास्थ्य सङ्गठनको सन् १९८८ मा सम्पन्न साधारणसभाले विश्वबाट पोलियो उन्मूलन गर्ने पारित गरेको थियो,0
प्रिय मन तिमी राष्ट्रको सान जोगाउँन र सारा नेपाली मन हँसाउन अनवरत संर्घष गर्दै प्रतियोगीताका ३ खेलमा जित निकाल्यौ,"दैलोमाथि हरियो स्टिकर टाँसिएको छ कि निलो रु त्यसले त्यो घर र वरपरको सरसफाइमात्र होइन, परिवारका सदस्यको आनीबानीसमेत छर्लंग पार्छ",0
यस्तो प्रवृत्ति तत्काल नरोके वित्तीय क्षेत्रको स्थिरतामै प्रश्न उठ्ने उसले चेतावनीसमेत दिएको छ,आवासीय चिकित्सकहरुले 'प्रोफेसर केसी बचाउँ' भन्दै हस्ताक्षर क्याम्पेनसमेत गरेका छन्,0
"र, सो प्रतिवेदन विद्यालयका प्रधानाध्यापक र जिल्ला शिक्षा कार्यालयमा अनिवार्य रूपमा दिनुपर्छ",पार्टी सानो भए पनि क्षेत्र नं ४ मा आफ्नो स्थिति मजबुत रहेकाले अन्य पार्टीका उम्मेदवारले नै आक्रमण गर्न लगाएको उम्मेदवार पालले आशङ्का व्यक्त गरिन्,0
"परिवारका सदस्यले बुझ्नु पर्छ भ्रष्टाचार एउटा अपराध हो र तपाईंको परिवारको एउटा सदस्य पनि अपराधी हुन सक्छ, तपाईंको बाबु/आमा, छोरा/छोरी, श्रीमान/श्रीमती, भाई/भतिजा पनि अपराधी हुन सक्छन",अमेरिकी र युरोपेली मुलुकका नेपालस्थित दूतावासको आम्दानीको मुख्य स्रोत उनीहरुले लिने भिसा शुल्क बनेको छ,0
यसलाई सचिवालयले पनि गम्भीर रूपमा लिएपछि संसद् सेवालाई निजामतीमा एकीकरण गर्ने विषयमा छलफल सुरु भएको हो,कांग्रेसले पूर्वसहमतिअनुसार आफूलाई गृह मन्त्रालय नदिए सरकारमै सहभागी नहुने निर्णय एमाले स्थायी समिति बैठकले गरेको छ,0
"प्यारा, सन् २०१५ मा न्युजिल्यान्ड र अष्ट्रेलियामा हुने वानडे विश्वकपमा सहभागिता पक्का गर्न भने तिमीलाई आफूभन्दा बलिया र वानडे मान्यता पाइसकेका देशलाई पाखा लगाउनुपर्ने चुनौति छ",चलचित्र क्षेत्रमा दुई दशकभन्दा लामो समय अभिनय गरेर चर्चा कमाएका अभिनेता राजेश हमालले नाटक खेल्ने भएका छन्,0
"अस्पतालका निर्देशक डा. बुलन्द थापाका अनुसार हाल पार्किङ, नर्सिङ क्याम्पस र कर्मचारी क्वार्टर भवन रहेका क्षेत्रका सबै संरचना भत्काइनेछ",विभागबाट श्रमस्वीकृति लिएर जायज काम गर्दा पनि धमाधम कामदार फर्काइएकाले टिकटबापतको खर्च म्यानपावर र कामदार दुवैले बेहोर्न नसक्ने संघले स्पष्ट पारेको आजको कारोबारमा खबर छ,0
"कासत्रोले ३२ वर्षीया मिसेल नाइट, गिना डिजियस र २७ वर्षे अमान्डा बेरीलाई घरको भूमिगत कोठामा सिक्रीले बाधेँर राखेका थिए",सरकारले निर्वाचनमा सेना परिचालन गर्ने सिफारिस गरेलगत्तै सेनाले विभिन्न शीर्षकमा उक्त रकम माग गरेको आजको कान्तिपुरमा खबर छ,0
समाचार कक्षमा काम गर्ने एक जना पत्रकार जयकृष्ण यादवका अनुसार यो समाचार विराटनगरका रिपोर्टर ब्रह्मदेव यादवबाट लिइएको हो,सो निर्देशिकाको दफा पाँचको व्यवस्थाले सबै गम्भीर अपराधलाई राजनितिक घटना बनाउन सक्ने रिट निवेदकहरुको जिकिर छ,0
"जुन समयमा बन्दिपुरे व्यापारी लोकनारायण पियाले यो तीनतले महल बनाएका थिए, त्यो समय बन्दीपुर वैभवको उत्कर्षमा थियो",” लामो समयसम्म कामदार काठमाडौंको होटलमा बस्न सक्ने अवस्था नरहेको भन्दै व्यवसायीले ७ दिनभित्र माग पूरा नभए भदौ १७ देखि सशक्त आन्दोलनमा उत्रने चेतावनी दिए,0
काँक्रेविहार घटनालाई लिएर शुरू गरिएको दोस्रो चरणको आन्दोलन स्थगित गर्न अन्तरिम मन्त्रीपरिषदका अध्यक्ष खिलराज रेग्मीले अनुरोध गरेका छन्,तर अमेरिका जाने नेपालीले सबैभन्दा छोटो भ्रमणका लागि एक सय ६० अमेरिकी डलर र बेलायत जानेले एक सय २० स्टर्लिङ पाउन्ड (१६ हजार दुई सय रुपैयाँ) भिसा शुल्क तिर्नुपर्छ,0
दुई बर्षअघि हत्या गरिएका फैजानको हत्या योजना दुई महिना पहिलादेखि बनेको बारामा पक्राउ परेका फहद अहमद उर्फ विपीन यादवले बयान दिएपछि यसको खुलासा भएको खबर आजको कान्तिपुरमा छापिएको छ,उनको शव यथासक्य चाँडो नेपाल पठाउन आवश्यक संयोजन गर्न नेपाल दूतावास दक्षिण अफ्रिका र केन्यास्थित नेपाल कन्सुलेटलाइ अनुरोध गरिएको छ,0
"पक्राउ पर्नेमा नेकपा–माओवादीका केन्द्रीय सदस्य चुडामणि गौतम, नेकपा एकीकृतका केन्द्रीय सदस्य कान्छाराम तामाङलगायत रहेका छन्",भट्टराई सरकारले ‘राजनीतिकद्वन्द्वको क्रममा मृत्युवरण गरेका वा वेपत्ता पारिएका व्यक्ति तथा परिवारलाई प्रदान गरिने परिचयपत्र सम्बन्धि निर्देशिका २०६९’ जारि गरेको थियो,0
वैदेशिक रोजगार व्यवस्थापन सुधार सुझाव कार्यदल र प्रशासन सुधार कार्यदलको प्रतिवेदनले पनि विकेन्द्रीकरणमा जोड दिएका थिए,शुक्रबारदेखि गृह जिल्ला रौतहटमा रहेका नेता नेपाल सात वर्ष पछि आफ्नो पुरानो घरमा प्रवेश गरेका हुन,0
फूटवलमा जति घरेलु ढाँचा राम्रो नभए पनि तिमीले 'नेपाली क्रिकेटले' पछिल्लो समय अन्तर्राष्ट्रियस्तरमा एक उचाइ भने लिएका छौ,श्रीलंकाले बंगलादेशको राजधानी ढाकामा आइतबार साँझ भएको टी ट्वान्टी विश्वकप क्रिकेटको फाइनल खेलमा भारतलाई छ विकेटले जितेको छ,0
अफगानी खेलाडी तिम्रो अंगालोमा बाँधिदा मन टुक्रियो घरीघरी गिज्याजस्तो लाग्थ्यो तिम्रो हारले मेरो दिलमा घाउ बन्यो,सोही आगलागीमा परी स्थानीय १ बालिकाको मृत्यु हुनुका साथै २ जना हराइरहेको प्रहरीले जनाएको छ,0
संसदमा बोल्दै पूर्वप्रधानमन्त्री तथा एमाओवादी नेता बाबुराम भट्टराईले पनि त्यो लेखको जिकिर गरेका छन्,निर्वाचनका सम्पूर्ण प्रक्रिया नै बहिष्कार गरेकाले कसरी निर्वाचित भइयो भन्ने विषय आफ्नो जीवनकै अनौठो घटना भएको साहले बताए,0
अफगानी खेलाडी तिम्रो अंगालोमा बाँधिदा मन टुक्रियो घरीघरी गिज्याजस्तो लाग्थ्यो तिम्रो हारले मेरो दिलमा घाउ बन्यो,बाँके जिल्लाका मुस्लिम समुदायमा छोरीलाई उच्च शिक्षा सम्म पढाउनु पर्छ भन्ने मान्यता अझै बन्न सकैको छैन,0
सो बारेमा नेपाल सरकारले २७ जनवरीमा पत्र पठाउँदै उनीहरुको अभिव्यक्ति स्वतन्त्रता हनन नभएको तथा मानव अधिकार अल्लंघन पनि नभएको जनाएको छ,यस्तै दोस्रो स्थानमा रहेक एमालेका कुमार दशौदीले ५८१४ मत ल्याएर दोस्रो स्थामा छन्,0
वैशाख २२ गतेको राती युगान्डालाई ५ विकेटले पराजित गर्दै तिमिले डिभिजन 'थ्री'को उपाधि जितेपछि म भित्रको खुसीले विष्फोटको रुप लियो,यसरी विदेशमा जानका लागि भिसाशुल्क बढी तिर्नु पर्ने भएकाले नेपालले पनि बढाउन लागेको हो,0
उनीहरूले केही समयअगाडि महासचिव मनोहरप्रसाद भट्टराईसमक्ष ज्ञापनपत्रसमेत बुझाएका थिए,त्यस्तै आइतबार समुहगत रूपमा भएको छलफलको निष्कर्ष तथा प्रतिवेदन प्रस्तुत हुने कार्यक्रम रहेको छ,0
डा.अनन्त कुमारले मृगौला प्रत्यारोपण गरेका कतिपय बिरामीलाई 'ग्रानुलोमस' फङ्गसले संक्रमण ल्याउने जानकारी दिएका थिए,आगामी मंसिर ४ गते तय गरेको दोस्रो संविधानसभाको चुनाव सथगन गरेर वार्तामार्फत समस्याको समाधान निकाल्न नेकपा–माओवादीले अपिल गरेको छ,0
"नेताले भ्रष्टाचार गरेको त्यहि पैसाले कुनै दिन हाम्रो पनि आँत भरेको हुन सक्छ, भोक मेटेकोहुन सक्छ",आगामी मंसिर ४ गते तय गरेको दोस्रो संविधानसभाको चुनाव सथगन गरेर वार्तामार्फत समस्याको समाधान निकाल्न नेकपा–माओवादीले अपिल गरेको छ,0
एक सय २६ वर्ष लामो इतिहास बोकेको केन्द्रीय रेफरल अस्पताल वीरको क्षमता अहिले जम्मा ४ सय ९८ शऒ्ढयाको छ,त्यसै डाँडातर्फ मोडिने अर्चलबोटको त्यो सिंगो क्षेत्र पेट्रोल र डिजल निलेर ओकलिएका धुवाँले भरिएको थियो,0
घटनास्थल सदरमुकाम खाँदबारीबाट करिब ७ घण्टा तथा प्रहरी कार्यालय वानाबाट ३ घन्टाको को पैदल दुरीमा पर्छ,गृह मन्त्रालयले लोकसेवा आयोगसितको परामर्शमा प्रहरीको बढुवासम्बन्धि सामान्य सिद्धान्त बनाइ त्यहीँ आधारमा नियमावली ल्याएको हो,0
स्विडेनस्थित वर्ल्ड चिल्ड्रेन्स प्राइज फाउन्डेसनले बालबालिकाको क्षेत्रको काम गर्ने व्यक्तिलाई दिने गर्छ,गृह मन्त्रालयले लोकसेवा आयोगसितको परामर्शमा प्रहरीको बढुवासम्बन्धि सामान्य सिद्धान्त बनाइ त्यहीँ आधारमा नियमावली ल्याएको हो,0
वास्तवमा प्यारा म तिम्रो प्रदर्शन र तिमीबिना बाँच्न नसक्ने भएकि छु सायद तिम्रा नेपाली समर्थक पनि यस्तै भन्छन्,"यसैबीच, महोत्तरीको धीरापुर गाविस वडा नं ६ मा अवस्थित धीरापुर प्राथमिक विद्यालयमा गएराति अज्ञात समूहले आगजनी गरेको छ",0
दस्तावेजमा एमाओवादीसँग कार्यगत एकता वा पार्टी एकीकरण दुवैको प्रस्तावसमेत वैद्यले राखेका छन्,त्यो दिन सम्बन्धनलाई छिनोफानो लगाउने तत्कालीन मन्त्रीको दामपन्थी सोच कार्यान्यवन हुन पाएन,0
घटनास्थल सदरमुकाम खाँदबारीबाट करिब ७ घण्टा तथा प्रहरी कार्यालय वानाबाट ३ घन्टाको को पैदल दुरीमा पर्छ,पूर्वप्रधानमन्त्री तथा एमाओवादी नेता बाबुराम भट्टराईले आइतबार साँझ फोन गरी बधाई दिने क्रममा मोदीले जवाफ दिएका हुन्,0
"तर, बुझ्नुपर्नेले कति बुझे कुन्नि तिम्रो आँसुको मुल्य? पत्तै पाइन र रुँदै साथ दिएं मैलेपनि तिमीलाई",घाइतेहरूको बलबा तथा सरपल्लाकोका विभिन्न निजी स्वास्थ्य केन्द्रहरूमा उपचार भइरहेको छ,0
सञ्जालको स्थापना विसं २०६६ मा भएको भएपनि अहिले भने यसलाई सामूहिक रुपमा अगाडि बढाउने उद्देश्यका साथ काम सुरु गरिएको निर्देशक चौलागाईंले जानकारी दिए,एमालेबाट प्रधानमन्त्री भइसकेका झलनाथ खनाल र माधवकुमार नेपालबाहेक कोही पनि सपथ ग्रहण कार्यक्रममा सहभागी नहुने निर्णय गरेका छौँ,0
"रासस
राजधानी केन्द्रित वैदेशिक रोजगार विभागलाई सरकारले विकेद्रित गरी अब उपत्यका र बाहिर सातवटा कार्यालय खोल्ने तयारी गरेको छ","उनले भनि्न, “अर्थ अभावले साइकलमा प्रचारप्रसार गर्दै आएको थिएँ तर आक्रमणमै परेपछि अब पार्टीलाई गाडीको व्यवस्था गर्न आग्रह गर्छु",0
"प्रिय मन, सिनियर नेपाली महिला राष्ट्रिय क्रिकेटमा छोरीहरुको प्रदर्शन पनि राम्रो भैरहेको छ",यसरी ४० हजार ४४७ खोप केन्द्रमा ८१ हजार स्वयम्सेवक र १२ हजार अनुगमन परिचालन हुनेछन्,0
